iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:44:00,0.5,ROS_VNF_interface,9.6,4127342592,3303886848,20.0,582471680,2858303488,752037888,336433152,64069632,622497792,1159168
1,2022-01-01,19:44:01,0.5,ROS_VNF_interface,3.3,4127342592,3303854080,20.0,582504448,2858270720,752037888,336433152,64069632,622497792,1159168
2,2022-01-01,19:44:01,0.5,ROS_VNF_interface,3.3,4127342592,3303886848,20.0,582471680,2858303488,752037888,336433152,64069632,622497792,1159168
3,2022-01-01,19:44:02,0.5,ROS_VNF_interface,5.4,4127342592,3304050688,19.9,582307840,2858467328,752037888,336433152,64069632,622497792,1159168
4,2022-01-01,19:44:02,0.5,ROS_VNF_interface,8.2,4127342592,3304050688,19.9,582299648,2858467328,752037888,336433152,64069632,622505984,1159168
5,2022-01-01,19:44:03,0.5,ROS_VNF_interface,3.3,4127342592,3303923712,20.0,582418432,2858336256,752041984,336437248,64069632,622518272,1159168
6,2022-01-01,19:44:03,0.5,ROS_VNF_interface,10.6,4127342592,3316441088,19.6,569909248,2870845440,740671488,336445440,64069632,622518272,1159168
7,2022-01-01,19:44:04,0.5,ROS_VNF_interface,3.3,4127342592,3316547584,19.6,569810944,2870943744,740642816,336453632,64069632,622518272,1159168
8,2022-01-01,19:44:04,0.5,ROS_VNF_interface,8.3,4127342592,3316482048,19.6,569876480,2870878208,740642816,336453632,64069632,622518272,1159168
9,2022-01-01,19:44:05,0.5,ROS_VNF_interface,5.4,4127342592,3316350976,19.6,570007552,2870747136,740642816,336453632,64069632,622518272,1159168
10,2022-01-01,19:44:05,0.5,ROS_VNF_interface,8.4,4127342592,3316252672,19.7,570105856,2870648832,740642816,336453632,64081920,622505984,1159168
11,2022-01-01,19:44:06,0.5,ROS_VNF_interface,7.4,4127342592,3316350976,19.6,569995264,2870747136,740642816,336453632,64081920,622518272,1159168
12,2022-01-01,19:44:06,0.5,ROS_VNF_interface,6.6,4127342592,3316416512,19.6,569909248,2870812672,740642816,336453632,64081920,622538752,1159168
13,2022-01-01,19:44:07,0.5,ROS_VNF_interface,11.1,4127342592,3316416512,19.6,569909248,2870812672,740642816,336453632,64081920,622538752,1159168
14,2022-01-01,19:44:07,0.5,ROS_VNF_interface,7.5,4127342592,3316449280,19.6,569876480,2870845440,740642816,336453632,64081920,622538752,1159168
15,2022-01-01,19:44:08,0.5,ROS_VNF_interface,3.3,4127342592,3316482048,19.6,569839616,2870878208,740642816,336453632,64081920,622542848,1159168
16,2022-01-01,19:44:08,0.5,ROS_VNF_interface,5.5,4127342592,3316277248,19.7,570081280,2870620160,740675584,336494592,64081920,622559232,1159168
17,2022-01-01,19:44:09,0.5,ROS_VNF_interface,8.3,4127342592,3316244480,19.7,570114048,2870587392,740675584,336494592,64081920,622559232,1159168
18,2022-01-01,19:44:09,0.5,ROS_VNF_interface,7.5,4127342592,3316244480,19.7,570114048,2870587392,740675584,336494592,64081920,622559232,1159168
19,2022-01-01,19:44:10,0.5,ROS_VNF_interface,3.3,4127342592,3316248576,19.7,570101760,2870587392,740691968,336498688,64081920,622571520,1159168
20,2022-01-01,19:44:10,0.5,ROS_VNF_interface,10.3,4127342592,3316248576,19.7,570093568,2870587392,740691968,336498688,64081920,622579712,1159168
21,2022-01-01,19:44:11,0.5,ROS_VNF_interface,9.3,4127342592,3316281344,19.7,570052608,2870620160,740691968,336498688,64090112,622579712,1159168
22,2022-01-01,19:44:11,0.5,ROS_VNF_interface,9.4,4127342592,3316281344,19.7,570052608,2870620160,740691968,336498688,64090112,622579712,1159168
23,2022-01-01,19:44:12,0.5,ROS_VNF_interface,4.3,4127342592,3316183040,19.7,570150912,2870521856,740691968,336498688,64090112,622579712,1159168
24,2022-01-01,19:44:12,0.5,ROS_VNF_interface,5.4,4127342592,3316183040,19.7,570150912,2870521856,740691968,336498688,64090112,622579712,1159168
25,2022-01-01,19:44:13,0.5,ROS_VNF_interface,6.3,4127342592,3316117504,19.7,570216448,2870456320,740691968,336498688,64090112,622579712,1159168
26,2022-01-01,19:44:13,0.5,ROS_VNF_interface,8.4,4127342592,3316224000,19.7,570109952,2870554624,740704256,336506880,64090112,622587904,1159168
27,2022-01-01,19:44:14,0.5,ROS_VNF_interface,8.2,4127342592,3316244480,19.7,570097664,2870554624,740712448,336519168,64090112,622600192,1159168
28,2022-01-01,19:44:14,0.5,ROS_VNF_interface,6.5,4127342592,3316240384,19.7,570093568,2870546432,740712448,336519168,64090112,622612480,1159168
29,2022-01-01,19:44:15,0.5,ROS_VNF_interface,8.3,4127342592,3316240384,19.7,570093568,2870546432,740712448,336519168,64090112,622612480,1159168
30,2022-01-01,19:44:15,0.5,ROS_VNF_interface,6.5,4127342592,3316240384,19.7,570093568,2870546432,740712448,336519168,64090112,622612480,1159168
31,2022-01-01,19:44:16,0.5,ROS_VNF_interface,7.3,4127342592,3316240384,19.7,570093568,2870546432,740712448,336519168,64090112,622612480,1159168
32,2022-01-01,19:44:16,0.5,ROS_VNF_interface,5.4,4127342592,3316305920,19.7,570019840,2870611968,740712448,336519168,64098304,622612480,1159168
33,2022-01-01,19:44:17,0.5,ROS_VNF_interface,8.6,4127342592,3316305920,19.7,570019840,2870611968,740712448,336519168,64098304,622612480,1159168
34,2022-01-01,19:44:17,0.5,ROS_VNF_interface,6.4,4127342592,3316146176,19.7,570179584,2870452224,740712448,336519168,64098304,622612480,1159168
35,2022-01-01,19:44:18,0.5,ROS_VNF_interface,8.3,4127342592,3316084736,19.7,570253312,2870353920,740720640,336543744,64098304,622637056,1159168
36,2022-01-01,19:44:18,0.5,ROS_VNF_interface,5.4,4127342592,3316150272,19.7,570187776,2870419456,740720640,336543744,64098304,622637056,1159168
37,2022-01-01,19:44:19,0.5,ROS_VNF_interface,7.4,4127342592,3316150272,19.7,570187776,2870419456,740720640,336543744,64098304,622637056,1159168
38,2022-01-01,19:44:19,0.5,ROS_VNF_interface,6.5,4127342592,3316224000,19.7,570114048,2870493184,740720640,336543744,64098304,622637056,1159168
39,2022-01-01,19:44:20,0.5,ROS_VNF_interface,2.2,4127342592,3316297728,19.7,570040320,2870546432,740720640,336564224,64098304,622657536,1159168
40,2022-01-01,19:44:20,0.5,ROS_VNF_interface,11.1,4127342592,3316297728,19.7,570040320,2870546432,740720640,336564224,64098304,622657536,1159168
