iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,02:37:00,0.5,ROS_VNF_interface,37.9,4127342592,1569230848,62.0,2292994048,1088765952,2417528832,336363520,63426560,682156032,1507328
1,2022-01-02,02:37:00,0.5,ROS_VNF_interface,37.8,4127342592,1569095680,62.0,2293121024,1088626688,2417528832,336363520,63426560,682168320,1507328
2,2022-01-02,02:37:01,0.5,ROS_VNF_interface,43.0,4127342592,1569251328,62.0,2292965376,1088782336,2417528832,336363520,63426560,682168320,1507328
3,2022-01-02,02:37:01,0.5,ROS_VNF_interface,51.2,4127342592,1569107968,62.0,2293104640,1088618496,2417573888,336379904,63426560,682192896,1507328
4,2022-01-02,02:37:02,0.5,ROS_VNF_interface,36.8,4127342592,1569206272,62.0,2293006336,1088716800,2417573888,336379904,63426560,682192896,1507328
5,2022-01-02,02:37:02,0.5,ROS_VNF_interface,34.5,4127342592,1569107968,62.0,2293104640,1088618496,2417573888,336379904,63426560,682192896,1507328
6,2022-01-02,02:37:03,0.5,ROS_VNF_interface,40.9,4127342592,1578172416,61.8,2284044288,1097678848,2408755200,336384000,63426560,682192896,1507328
7,2022-01-02,02:37:03,0.5,ROS_VNF_interface,36.4,4127342592,1577947136,61.8,2284273664,1097449472,2408697856,336388096,63426560,682192896,1507328
8,2022-01-02,02:37:04,0.5,ROS_VNF_interface,47.5,4127342592,1577979904,61.8,2284228608,1097482240,2408697856,336388096,63438848,682192896,1507328
9,2022-01-02,02:37:04,0.5,ROS_VNF_interface,28.6,4127342592,1578045440,61.8,2284163072,1097547776,2408697856,336388096,63438848,682192896,1507328
10,2022-01-02,02:37:05,0.5,ROS_VNF_interface,32.1,4127342592,1578012672,61.8,2284195840,1097515008,2408697856,336388096,63438848,682192896,1507328
11,2022-01-02,02:37:05,0.5,ROS_VNF_interface,31.3,4127342592,1578045440,61.8,2284163072,1097547776,2408697856,336388096,63438848,682192896,1507328
12,2022-01-02,02:37:06,0.5,ROS_VNF_interface,31.7,4127342592,1578045440,61.8,2284163072,1097547776,2408697856,336388096,63438848,682192896,1507328
13,2022-01-02,02:37:06,0.5,ROS_VNF_interface,37.5,4127342592,1578176512,61.8,2284032000,1097678848,2408697856,336388096,63438848,682192896,1507328
14,2022-01-02,02:37:07,0.5,ROS_VNF_interface,37.8,4127342592,1578045440,61.8,2284163072,1097547776,2408697856,336388096,63438848,682192896,1507328
15,2022-01-02,02:37:07,0.5,ROS_VNF_interface,37.5,4127342592,1577979904,61.8,2284228608,1097482240,2408697856,336388096,63438848,682192896,1507328
16,2022-01-02,02:37:08,0.5,ROS_VNF_interface,32.9,4127342592,1577947136,61.8,2284261376,1097449472,2408697856,336388096,63438848,682192896,1507328
17,2022-01-02,02:37:08,0.5,ROS_VNF_interface,36.0,4127342592,1577979904,61.8,2284228608,1097482240,2408697856,336388096,63438848,682192896,1507328
18,2022-01-02,02:37:09,0.5,ROS_VNF_interface,34.1,4127342592,1578237952,61.8,2283962368,1097740288,2408697856,336388096,63438848,682201088,1507328
19,2022-01-02,02:37:09,0.5,ROS_VNF_interface,42.0,4127342592,1578237952,61.8,2283950080,1097740288,2408697856,336388096,63447040,682205184,1507328
20,2022-01-02,02:37:10,0.5,ROS_VNF_interface,31.6,4127342592,1578274816,61.8,2283917312,1097773056,2408697856,336392192,63447040,682205184,1507328
21,2022-01-02,02:37:10,0.5,ROS_VNF_interface,29.1,4127342592,1578307584,61.8,2283872256,1097805824,2408697856,336392192,63447040,682217472,1507328
22,2022-01-02,02:37:11,0.5,ROS_VNF_interface,24.7,4127342592,1578340352,61.8,2283839488,1097838592,2408697856,336392192,63447040,682217472,1507328
23,2022-01-02,02:37:11,0.5,ROS_VNF_interface,28.9,4127342592,1578340352,61.8,2283839488,1097838592,2408697856,336392192,63447040,682217472,1507328
24,2022-01-02,02:37:12,0.5,ROS_VNF_interface,27.8,4127342592,1578209280,61.8,2283970560,1097707520,2408697856,336392192,63447040,682217472,1507328
25,2022-01-02,02:37:12,0.5,ROS_VNF_interface,26.1,4127342592,1578344448,61.8,2283872256,1097805824,2408742912,336408576,63447040,682217472,1507328
26,2022-01-02,02:37:13,0.5,ROS_VNF_interface,27.8,4127342592,1578409984,61.8,2283806720,1097871360,2408742912,336408576,63447040,682217472,1507328
27,2022-01-02,02:37:13,0.5,ROS_VNF_interface,30.1,4127342592,1577918464,61.8,2284285952,1097375744,2408742912,336408576,63447040,682233856,1507328
28,2022-01-02,02:37:14,0.5,ROS_VNF_interface,40.7,4127342592,1578115072,61.8,2284089344,1097572352,2408742912,336408576,63447040,682233856,1507328
29,2022-01-02,02:37:14,0.5,ROS_VNF_interface,31.3,4127342592,1578115072,61.8,2284089344,1097572352,2408742912,336408576,63447040,682233856,1507328
30,2022-01-02,02:37:15,0.5,ROS_VNF_interface,47.6,4127342592,1578340352,61.8,2283855872,1097797632,2408742912,336408576,63455232,682233856,1507328
31,2022-01-02,02:37:15,0.5,ROS_VNF_interface,35.9,4127342592,1578340352,61.8,2283855872,1097797632,2408742912,336408576,63455232,682233856,1507328
32,2022-01-02,02:37:16,0.5,ROS_VNF_interface,32.2,4127342592,1578209280,61.8,2283986944,1097666560,2408742912,336408576,63455232,682233856,1507328
33,2022-01-02,02:37:16,0.5,ROS_VNF_interface,45.3,4127342592,1578307584,61.8,2283888640,1097764864,2408742912,336408576,63455232,682233856,1507328
34,2022-01-02,02:37:17,0.5,ROS_VNF_interface,40.7,4127342592,1578373120,61.8,2283823104,1097830400,2408742912,336408576,63455232,682233856,1507328
35,2022-01-02,02:37:17,0.5,ROS_VNF_interface,32.5,4127342592,1578319872,61.8,2283884544,1097764864,2408800256,336412672,63455232,682237952,1507328
36,2022-01-02,02:37:18,0.5,ROS_VNF_interface,29.5,4127342592,1578319872,61.8,2283880448,1097764864,2408800256,336412672,63455232,682242048,1507328
37,2022-01-02,02:37:18,0.5,ROS_VNF_interface,38.3,4127342592,1578319872,61.8,2283876352,1097764864,2408800256,336412672,63455232,682246144,1507328
38,2022-01-02,02:37:19,0.5,ROS_VNF_interface,43.5,4127342592,1578418176,61.8,2283773952,1097863168,2408800256,336412672,63455232,682250240,1507328
39,2022-01-02,02:37:19,0.5,ROS_VNF_interface,32.5,4127342592,1578221568,61.8,2283962368,1097666560,2408800256,336412672,63455232,682258432,1507328
40,2022-01-02,02:37:20,0.5,ROS_VNF_interface,36.0,4127342592,1578287104,61.8,2283888640,1097732096,2408800256,336412672,63463424,682258432,1507328
41,2022-01-02,02:37:20,0.5,ROS_VNF_interface,35.3,4127342592,1578352640,61.8,2283823104,1097797632,2408800256,336412672,63463424,682258432,1507328
42,2022-01-02,02:37:21,0.5,ROS_VNF_interface,39.5,4127342592,1578352640,61.8,2283823104,1097797632,2408800256,336412672,63463424,682258432,1507328
43,2022-01-02,02:37:21,0.5,ROS_VNF_interface,34.5,4127342592,1578319872,61.8,2283855872,1097764864,2408800256,336412672,63463424,682258432,1507328
44,2022-01-02,02:37:22,0.5,ROS_VNF_interface,35.8,4127342592,1578340352,61.8,2283855872,1097764864,2408849408,336424960,63463424,682258432,1507328
45,2022-01-02,02:37:22,0.5,ROS_VNF_interface,51.2,4127342592,1578340352,61.8,2283855872,1097764864,2408849408,336424960,63463424,682258432,1507328
46,2022-01-02,02:37:23,0.5,ROS_VNF_interface,33.7,4127342592,1578209280,61.8,2283986944,1097633792,2408849408,336424960,63463424,682258432,1507328
47,2022-01-02,02:37:23,0.5,ROS_VNF_interface,30.4,4127342592,1578340352,61.8,2283855872,1097764864,2408849408,336424960,63463424,682258432,1507328
48,2022-01-02,02:37:24,0.5,ROS_VNF_interface,34.5,4127342592,1578340352,61.8,2283855872,1097764864,2408849408,336424960,63463424,682258432,1507328
49,2022-01-02,02:37:24,0.5,ROS_VNF_interface,39.6,4127342592,1578340352,61.8,2283855872,1097764864,2408849408,336424960,63463424,682258432,1507328
50,2022-01-02,02:37:25,0.5,ROS_VNF_interface,37.5,4127342592,1578340352,61.8,2283855872,1097764864,2408849408,336424960,63463424,682258432,1507328
51,2022-01-02,02:37:25,0.5,ROS_VNF_interface,38.9,4127342592,1578405888,61.8,2283782144,1097830400,2408849408,336424960,63471616,682258432,1507328
52,2022-01-02,02:37:26,0.5,ROS_VNF_interface,29.5,4127342592,1578373120,61.8,2283814912,1097797632,2408849408,336424960,63471616,682258432,1507328
53,2022-01-02,02:37:26,0.5,ROS_VNF_interface,32.1,4127342592,1578340352,61.8,2283843584,1097764864,2408849408,336424960,63471616,682262528,1507328
54,2022-01-02,02:37:27,0.5,ROS_VNF_interface,37.5,4127342592,1578274816,61.8,2283905024,1097699328,2408849408,336424960,63471616,682266624,1507328
55,2022-01-02,02:37:27,0.5,ROS_VNF_interface,36.0,4127342592,1578438656,61.8,2283732992,1097863168,2408849408,336424960,63471616,682274816,1507328
