timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640078371268649984,"2021-12-21,09:19:31",10.1.1.3,53815,0.000,0.000,0.000,0.000,0.000,0.000
1640078373734397952,"2021-12-21,09:19:33",10.1.1.3,0.47544097900390625,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640078377879810048,"2021-12-21,09:19:35",10.1.1.3,1.3216829299926758,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078377926430976,"2021-12-21,09:19:37",10.1.1.3,4091,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640078380084923904,"2021-12-21,09:19:40",10.1.1.3,2145,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078380100723968,"2021-12-21,09:19:40",10.1.1.3,2.16110897064209,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640078380453536000,"2021-12-21,09:19:40",10.1.1.3,349,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078380483624960,"2021-12-21,09:19:40",10.1.1.3,0.37980103492736816,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640078381059021824,"2021-12-21,09:19:41",10.1.1.3,573,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078381072957952,"2021-12-21,09:19:41",10.1.1.3,0.5872788429260254,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640078381653790976,"2021-12-21,09:19:41",10.1.1.3,574,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078381667757056,"2021-12-21,09:19:41",10.1.1.3,0.5887899398803711,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640078382081469184,"2021-12-21,09:19:42",10.1.1.3,400,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078382140651008,"2021-12-21,09:19:42",10.1.1.3,0.4681248664855957,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640078382604737024,"2021-12-21,09:19:42",10.1.1.3,462,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078382654462976,"2021-12-21,09:19:42",10.1.1.3,0.5111579895019531,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640078383013506816,"2021-12-21,09:19:43",10.1.1.3,356,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640078383082803968,"2021-12-21,09:19:43",10.1.1.3,0.3972148895263672,-0.090,-0.090,-0.090,0.000,0.000,0.000
