timestamp,date,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640658879371115008,2021-12-28-02:34:39,10.1.1.2,1640658879370.84,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658883483908864,2021-12-28-02:34:43,10.1.1.2,15,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658885622328064,2021-12-28-02:34:45,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658887738946048,2021-12-28-02:34:47,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658889866507008,2021-12-28-02:34:49,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658891955337984,2021-12-28-02:34:51,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658894076237824,2021-12-28-02:34:54,10.1.1.2,5,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658896161402880,2021-12-28-02:34:56,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658898281105152,2021-12-28-02:34:58,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658900380513792,2021-12-28-02:35:00,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658904561243904,2021-12-28-02:35:04,10.1.1.2,5,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658906657195008,2021-12-28-02:35:06,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658908753241088,2021-12-28-02:35:08,10.1.1.2,7,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658910850029824,2021-12-28-02:35:10,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658912968976128,2021-12-28-02:35:12,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658915065272064,2021-12-28-02:35:15,10.1.1.2,15,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658917201234176,2021-12-28-02:35:17,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658919338635008,2021-12-28-02:35:19,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658921467130880,2021-12-28-02:35:21,10.1.1.2,18,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658923572613120,2021-12-28-02:35:23,10.1.1.2,7,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658925700174080,2021-12-28-02:35:25,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658927821954048,2021-12-28-02:35:27,10.1.1.2,14,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658929964345088,2021-12-28-02:35:29,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658932061569024,2021-12-28-02:35:32,10.1.1.2,7,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658934180631040,2021-12-28-02:35:34,10.1.1.2,11,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658936300772864,2021-12-28-02:35:36,10.1.1.2,11,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658938438509824,2021-12-28-02:35:38,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658940535351040,2021-12-28-02:35:40,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658942675972864,2021-12-28-02:35:42,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658944848582144,2021-12-28-02:35:44,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658946967268096,2021-12-28-02:35:46,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658949122423808,2021-12-28-02:35:49,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658951280678912,2021-12-28-02:35:51,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658953380114176,2021-12-28-02:35:53,10.1.1.2,5,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658955568934912,2021-12-28-02:35:55,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658957716034816,2021-12-28-02:35:57,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658959859729152,2021-12-28-02:35:59,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658961982647040,2021-12-28-02:36:01,10.1.1.2,14,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658964121851904,2021-12-28-02:36:04,10.1.1.2,14,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658966281555968,2021-12-28-02:36:06,10.1.1.2,15,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658968439058176,2021-12-28-02:36:08,10.1.1.2,2,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658970557779200,2021-12-28-02:36:10,10.1.1.2,1,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658972757966080,2021-12-28-02:36:12,10.1.1.2,19,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658974871817984,2021-12-28-02:36:14,10.1.1.2,7,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658977008941056,2021-12-28-02:36:17,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658979104940800,2021-12-28-02:36:19,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658981182568192,2021-12-28-02:36:21,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658983279998976,2021-12-28-02:36:23,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658985419181056,2021-12-28-02:36:25,10.1.1.2,5,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658987647944960,2021-12-28-02:36:27,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658989799257088,2021-12-28-02:36:29,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658991879520000,2021-12-28-02:36:31,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658993981273856,2021-12-28-02:36:33,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658996082812160,2021-12-28-02:36:36,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640658998201710848,2021-12-28-02:36:38,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659000300407040,2021-12-28-02:36:40,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659002419728128,2021-12-28-02:36:42,10.1.1.2,5,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659004496908032,2021-12-28-02:36:44,10.1.1.2,1,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659006655308032,2021-12-28-02:36:46,10.1.1.2,16,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659008750750976,2021-12-28-02:36:48,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659010868932864,2021-12-28-02:36:50,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659013026177792,2021-12-28-02:36:53,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659015103377152,2021-12-28-02:36:55,10.1.1.2,2,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659017199233024,2021-12-28-02:36:57,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659019369779200,2021-12-28-02:36:59,10.1.1.2,7,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659021536849920,2021-12-28-02:37:01,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659023698308864,2021-12-28-02:37:03,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659025782580992,2021-12-28-02:37:05,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659027901314048,2021-12-28-02:37:07,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659030081278976,2021-12-28-02:37:10,10.1.1.2,14,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659032181729024,2021-12-28-02:37:12,10.1.1.2,1,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659034302061056,2021-12-28-02:37:14,10.1.1.2,17,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659036440943104,2021-12-28-02:37:16,10.1.1.2,6,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659038574043904,2021-12-28-02:37:18,10.1.1.2,15,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659040691049984,2021-12-28-02:37:20,10.1.1.2,1,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659042847609088,2021-12-28-02:37:22,10.1.1.2,18,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659044986548992,2021-12-28-02:37:24,10.1.1.2,15,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659047143436032,2021-12-28-02:37:27,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659049301076992,2021-12-28-02:37:29,10.1.1.2,8,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659051448954112,2021-12-28-02:37:31,10.1.1.2,6,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659053575695872,2021-12-28-02:37:33,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659055722393088,2021-12-28-02:37:35,10.1.1.2,0,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659057833507072,2021-12-28-02:37:37,10.1.1.2,2,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659059983561984,2021-12-28-02:37:39,10.1.1.2,7,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659062121540096,2021-12-28-02:37:42,10.1.1.2,5,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659064259918848,2021-12-28-02:37:44,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659066417771008,2021-12-28-02:37:46,10.1.1.2,13,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659068554214912,2021-12-28-02:37:48,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659070653634048,2021-12-28-02:37:50,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659072751774976,2021-12-28-02:37:52,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659074866966016,2021-12-28-02:37:54,10.1.1.2,15,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659076982604032,2021-12-28-02:37:56,10.1.1.2,4,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659079098639872,2021-12-28-02:37:59,10.1.1.2,12,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659081257751040,2021-12-28-02:38:01,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659083423321088,2021-12-28-02:38:03,10.1.1.2,10,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659085551520000,2021-12-28-02:38:05,10.1.1.2,3,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659087716547840,2021-12-28-02:38:07,10.1.1.2,11,0.000,-0.000,0.000,-0.000,-0.000,-0.000
1640659089859278080,2021-12-28-02:38:09,10.1.1.2,9,0.000,-0.000,0.000,-0.000,-0.000,-0.000
