--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-01-21:19:25,-1,3,2.769682
1,2022-01-01-21:19:27,3,4,2.057291
2,2022-01-01-21:19:29,4,7,1.897564
3,2022-01-01-21:19:31,7,3,2.150802
4,2022-01-01-21:19:33,3,4,2.144620
5,2022-01-01-21:19:34,4,1,1.328861
6,2022-01-01-21:19:36,1,4,1.344797
7,2022-01-01-21:19:37,4,5,1.800346
8,2022-01-01-21:19:41,5,6,3.101672
9,2022-01-01-21:19:44,6,0,3.442415
10,2022-01-01-21:19:46,0,2,1.723978
11,2022-01-01-21:19:47,2,0,1.729297
12,2022-01-01-21:19:51,0,6,3.463504
13,2022-01-01-21:19:54,6,5,3.107052
14,2022-01-01-21:19:56,5,0,1.903697
15,2022-01-01-21:19:58,0,7,1.931902
16,2022-01-01-21:20:00,7,5,2.600926
17,2022-01-01-21:20:02,5,4,1.793882
18,2022-01-01-21:20:04,4,1,1.326754
19,2022-01-01-21:20:05,1,0,1.063754
20,2022-01-01-21:20:06,0,4,1.534573
21,2022-01-01-21:20:08,4,0,1.537168
22,2022-01-01-21:20:09,0,1,1.094625
23,2022-01-01-21:20:10,1,0,1.092665
24,2022-01-01-21:20:12,0,3,2.373052
25,2022-01-01-21:20:16,3,6,3.646369
26,2022-01-01-21:20:19,6,4,3.436465
27,2022-01-01-21:20:21,4,5,1.771843
28,2022-01-01-21:20:23,5,3,2.234602
29,2022-01-01-21:20:26,3,5,2.216399
30,2022-01-01-21:20:28,5,3,2.205427
31,2022-01-01-21:20:30,3,2,2.570349
32,2022-01-01-21:20:33,2,7,2.608132
33,2022-01-01-21:20:37,7,6,4.025941
34,2022-01-01-21:20:40,6,5,3.105433
35,2022-01-01-21:20:42,5,2,1.550132
36,2022-01-01-21:20:44,2,1,2.001981
37,2022-01-01-21:20:46,1,2,1.969124
38,2022-01-01-21:20:47,2,0,1.701056
39,2022-01-01-21:20:51,0,6,3.446146
40,2022-01-01-21:20:54,6,3,3.682782
41,2022-01-01-21:20:58,3,6,3.649179
42,2022-01-01-21:21:02,6,3,3.655974
43,2022-01-01-21:21:04,3,7,2.144772
44,2022-01-01-21:21:08,7,6,3.972326
45,2022-01-01-21:21:11,6,0,3.396393
46,2022-01-01-21:21:12,0,1,1.092342
47,2022-01-01-21:21:14,1,7,1.699198
48,2022-01-01-21:21:16,7,3,2.177178
49,2022-01-01-21:21:18,3,7,2.138325
50,2022-01-01-21:21:21,7,3,2.143407
51,2022-01-01-21:21:23,3,0,2.446447
52,2022-01-01-21:21:25,0,5,1.874783
53,2022-01-01-21:21:28,5,6,3.144934
54,2022-01-01-21:21:31,6,2,3.147215
55,2022-01-01-21:21:33,2,0,1.747540
56,2022-01-01-21:21:35,0,2,1.735932
57,2022-01-01-21:21:37,2,7,2.633687
58,2022-01-01-21:21:41,7,6,4.029999
59,2022-01-01-21:21:45,6,0,3.463958
60,2022-01-01-21:21:46,0,1,1.024714
61,2022-01-01-21:21:47,1,0,1.020691
62,2022-01-01-21:21:50,0,6,3.422974
63,2022-01-01-21:21:54,6,1,3.492221
64,2022-01-01-21:21:55,1,4,1.320875
65,2022-01-01-21:21:57,4,3,2.100096
66,2022-01-01-21:21:59,3,1,2.244673
67,2022-01-01-21:22:01,1,5,1.962053
68,2022-01-01-21:22:03,5,1,1.948957
69,2022-01-01-21:22:05,1,5,1.931488
70,2022-01-01-21:22:07,5,0,1.851167
71,2022-01-01-21:22:09,0,3,2.349398
72,2022-01-01-21:22:12,3,1,2.240885
73,2022-01-01-21:22:14,1,2,2.034496
74,2022-01-01-21:22:16,2,7,2.632883
75,2022-01-01-21:22:20,7,6,4.053165
76,2022-01-01-21:22:23,6,2,3.089883
77,2022-01-01-21:22:26,2,7,2.565038
78,2022-01-01-21:22:28,7,1,1.705013
79,2022-01-01-21:22:30,1,3,2.234166
80,2022-01-01-21:22:34,3,6,3.687326
81,2022-01-01-21:22:37,6,5,3.105537
82,2022-01-01-21:22:39,5,0,1.865613
83,2022-01-01-21:22:41,0,7,1.956432
84,2022-01-01-21:22:42,7,1,1.700726
85,2022-01-01-21:22:44,1,2,2.001406
86,2022-01-01-21:22:47,2,6,3.123059
87,2022-01-01-21:22:51,6,2,3.112763
88,2022-01-01-21:22:52,2,0,1.727809
89,2022-01-01-21:22:54,0,4,1.530590
90,2022-01-01-21:22:55,4,1,1.330320
91,2022-01-01-21:22:56,1,4,1.325768
92,2022-01-01-21:22:58,4,2,1.838926
93,2022-01-01-21:23:01,2,3,2.549419
94,2022-01-01-21:23:03,3,7,2.175315
95,2022-01-01-21:23:05,7,3,2.167948
96,2022-01-01-21:23:07,3,4,2.098107
97,2022-01-01-21:23:11,4,6,3.446009
98,2022-01-01-21:23:14,6,1,3.533728
99,2022-01-01-21:23:16,1,7,1.732176
100,2022-01-01-21:23:20,7,6,4.054789
101,2022-01-01-21:23:24,6,1,3.580598
102,2022-01-01-21:23:26,1,5,1.910202
103,2022-01-01-21:23:28,5,7,2.569991
104,2022-01-01-21:23:30,7,1,1.697278
105,2022-01-01-21:23:32,1,7,1.728704
106,2022-01-01-21:23:33,7,4,1.846698
107,2022-01-01-21:23:36,4,3,2.132784
108,2022-01-01-21:23:38,3,0,2.410599
109,2022-01-01-21:23:40,0,7,1.930282
110,2022-01-01-21:23:42,7,1,1.696654
111,2022-01-01-21:23:43,1,5,1.944370
112,2022-01-01-21:23:45,5,2,1.530235
113,2022-01-01-21:23:48,2,6,3.143933
114,2022-01-01-21:23:52,6,4,3.492671
115,2022-01-01-21:23:53,4,2,1.804785
116,2022-01-01-21:23:55,2,1,1.977332
117,2022-01-01-21:23:57,1,5,1.937113
118,2022-01-01-21:23:59,5,0,1.871419
119,2022-01-01-21:24:00,0,1,1.028528
120,2022-01-01-21:24:02,1,4,1.330440
121,2022-01-01-21:24:05,4,6,3.491592
122,2022-01-01-21:24:09,6,4,3.467564
123,2022-01-01-21:24:10,4,2,1.800082
124,2022-01-01-21:24:13,2,7,2.644194
125,2022-01-01-21:24:15,7,1,1.729252
126,2022-01-01-21:24:16,1,0,1.040476
127,2022-01-01-21:24:18,0,2,1.752635
128,2022-01-01-21:24:20,2,3,2.578592
129,2022-01-01-21:24:23,3,0,2.400908
130,2022-01-01-21:24:24,0,1,1.087240
131,2022-01-01-21:24:26,1,2,2.004928
132,2022-01-01-21:24:27,2,4,1.761423
133,2022-01-01-21:24:29,4,1,1.380282
134,2022-01-01-21:24:31,1,2,2.028404
135,2022-01-01-21:24:33,2,7,2.642105
136,2022-01-01-21:24:36,7,5,2.538951
137,2022-01-01-21:24:38,5,4,1.807322
138,2022-01-01-21:24:39,4,1,1.346470
139,2022-01-01-21:24:40,1,0,1.026730
140,2022-01-01-21:24:42,0,7,1.935389
141,2022-01-01-21:24:45,7,5,2.572323
142,2022-01-01-21:24:47,5,7,2.579314
143,2022-01-01-21:24:49,7,0,1.907021
144,2022-01-01-21:24:51,0,5,1.868444
145,2022-01-01-21:24:53,5,3,2.236030
146,2022-01-01-21:24:55,3,5,2.237349
147,2022-01-01-21:24:57,5,2,1.533884
148,2022-01-01-21:25:00,2,7,2.569051
149,2022-01-01-21:25:02,7,0,1.977933
150,2022-01-01-21:25:03,0,4,1.557506
151,2022-01-01-21:25:05,4,5,1.805583
152,2022-01-01-21:25:08,5,7,2.576966
153,2022-01-01-21:25:10,7,5,2.619525
154,2022-01-01-21:25:13,5,6,3.082671
155,2022-01-01-21:25:17,6,7,4.026798
156,2022-01-01-21:25:20,7,2,2.599743
157,2022-01-01-21:25:21,2,5,1.525878
158,2022-01-01-21:25:24,5,7,2.605794
159,2022-01-01-21:25:28,7,6,4.030470
160,2022-01-01-21:25:32,6,3,3.662350
161,2022-01-01-21:25:35,3,6,3.672845
162,2022-01-01-21:25:39,6,4,3.407959
163,2022-01-01-21:25:41,4,3,2.174654
164,2022-01-01-21:25:43,3,4,2.127567
165,2022-01-01-21:25:45,4,0,1.545563
166,2022-01-01-21:25:46,0,5,1.903711
167,2022-01-01-21:25:49,5,7,2.583070
168,2022-01-01-21:25:52,7,5,2.580088
169,2022-01-01-21:25:54,5,3,2.155244
170,2022-01-01-21:25:56,3,5,2.163729
171,2022-01-01-21:25:58,5,4,1.835509
172,2022-01-01-21:26:00,4,3,2.155225
173,2022-01-01-21:26:04,3,6,3.656430
174,2022-01-01-21:26:07,6,0,3.459764
175,2022-01-01-21:26:11,0,6,3.454992
176,2022-01-01-21:26:14,6,0,3.477516
177,2022-01-01-21:26:16,0,4,1.528756
178,2022-01-01-21:26:18,4,3,2.102431
179,2022-01-01-21:26:20,3,1,2.254357
180,2022-01-01-21:26:22,1,5,1.947307
181,2022-01-01-21:26:24,5,3,2.233413
182,2022-01-01-21:26:26,3,4,2.135695
183,2022-01-01-21:26:28,4,7,1.864722
184,2022-01-01-21:26:31,7,2,2.616929
185,2022-01-01-21:26:32,2,0,1.760673
186,2022-01-01-21:26:34,0,2,1.728772
187,2022-01-01-21:26:36,2,5,1.529049
188,2022-01-01-21:26:38,5,1,1.975335
189,2022-01-01-21:26:39,1,7,1.696743
190,2022-01-01-21:26:42,7,5,2.584622
191,2022-01-01-21:26:44,5,3,2.207913
192,2022-01-01-21:26:46,3,7,2.157852
193,2022-01-01-21:26:49,7,2,2.545223
194,2022-01-01-21:26:50,2,5,1.551963
195,2022-01-01-21:26:52,5,1,1.940872
196,2022-01-01-21:26:55,1,3,2.259159
197,2022-01-01-21:26:58,3,6,3.674692
198,2022-01-01-21:27:02,6,7,4.052250
199,2022-01-01-21:27:05,7,3,2.140125
200,2022-01-01-21:27:07,3,4,2.112006
201,2022-01-01-21:27:08,4,2,1.798119
202,2022-01-01-21:27:10,2,1,1.943945
203,2022-01-01-21:27:13,1,3,2.187315
204,2022-01-01-21:27:16,3,6,3.651304
205,2022-01-01-21:27:19,6,5,3.107730
206,2022-01-01-21:27:22,5,7,2.612298
207,2022-01-01-21:27:24,7,2,2.553590
208,2022-01-01-21:27:26,2,1,2.004095
209,2022-01-01-21:27:29,1,3,2.259669
210,2022-01-01-21:27:31,3,2,2.583438
211,2022-01-01-21:27:33,2,1,1.996253
212,2022-01-01-21:27:36,1,3,2.261687
213,2022-01-01-21:27:38,3,5,2.187283
214,2022-01-01-21:27:40,5,3,2.241970
215,2022-01-01-21:27:43,3,2,2.638393
216,2022-01-01-21:27:46,2,6,3.140765
217,2022-01-01-21:27:50,6,7,4.057690
218,2022-01-01-21:27:52,7,3,2.151117
219,2022-01-01-21:27:54,3,0,2.368472
220,2022-01-01-21:27:58,0,6,3.461664
221,2022-01-01-21:28:01,6,0,3.485888
222,2022-01-01-21:28:03,0,5,1.878609
223,2022-01-01-21:28:05,5,4,1.757928
224,2022-01-01-21:28:07,4,2,1.812523
225,2022-01-01-21:28:10,2,6,3.132552
226,2022-01-01-21:28:13,6,0,3.452275
227,2022-01-01-21:28:14,0,1,1.130186
228,2022-01-01-21:28:17,1,3,2.251409
229,2022-01-01-21:28:19,3,0,2.370088
230,2022-01-01-21:28:23,0,6,3.404704
231,2022-01-01-21:28:26,6,1,3.582070
232,2022-01-01-21:28:27,1,0,1.063884
233,2022-01-01-21:28:29,0,5,1.926340
234,2022-01-01-21:28:31,5,3,2.217011
235,2022-01-01-21:28:34,3,5,2.216480
236,2022-01-01-21:28:37,5,6,3.158233
237,2022-01-01-21:28:41,6,7,4.020225
238,2022-01-01-21:28:43,7,5,2.587249
239,2022-01-01-21:28:45,5,1,1.937572
240,2022-01-01-21:28:47,1,3,2.246664
241,2022-01-01-21:28:50,3,1,2.241254
242,2022-01-01-21:28:51,1,0,1.092746
243,2022-01-01-21:28:53,0,3,2.408097
244,2022-01-01-21:28:55,3,5,2.222795
245,2022-01-01-21:28:57,5,1,1.953687
246,2022-01-01-21:28:59,1,2,2.011030
247,2022-01-01-21:29:01,2,5,1.531092
248,2022-01-01-21:29:03,5,4,1.833939
249,2022-01-01-21:29:06,4,6,3.448730
250,2022-01-01-21:29:10,6,3,3.663715
251,2022-01-01-21:29:14,3,6,3.680568
252,2022-01-01-21:29:18,6,7,4.030830
253,2022-01-01-21:29:20,7,0,1.942380
254,2022-01-01-21:29:21,0,7,1.932880
255,2022-01-01-21:29:24,7,5,2.622155
256,2022-01-01-21:29:26,5,1,1.936954
257,2022-01-01-21:29:28,1,3,2.242488
258,2022-01-01-21:29:30,3,5,2.214971
259,2022-01-01-21:29:33,5,7,2.580938
260,2022-01-01-21:29:35,7,3,2.127803
261,2022-01-01-21:29:37,3,4,2.115231
262,2022-01-01-21:29:39,4,7,1.897265
263,2022-01-01-21:29:43,7,6,4.014029
264,2022-01-01-21:29:47,6,7,4.024358
265,2022-01-01-21:29:49,7,3,2.124507
266,2022-01-01-21:29:52,3,5,2.203223
267,2022-01-01-21:29:54,5,1,1.966777
268,2022-01-01-21:29:55,1,5,1.927301
269,2022-01-01-21:29:59,5,6,3.045301
270,2022-01-01-21:30:02,6,5,3.132023
271,2022-01-01-21:30:04,5,1,1.937027
272,2022-01-01-21:30:05,1,7,1.697153
273,2022-01-01-21:30:07,7,4,1.908968
274,2022-01-01-21:30:11,4,6,3.519361
275,2022-01-01-21:30:14,6,2,3.102509
276,2022-01-01-21:30:16,2,7,2.538439
277,2022-01-01-21:30:20,7,6,4.068207
278,2022-01-01-21:30:24,6,2,3.101537
279,2022-01-01-21:30:25,2,0,1.743264
280,2022-01-01-21:30:28,0,3,2.448837
281,2022-01-01-21:30:30,3,4,2.115326
282,2022-01-01-21:30:33,4,6,3.473725
283,2022-01-01-21:30:37,6,3,3.645646
284,2022-01-01-21:30:39,3,0,2.427231
285,2022-01-01-21:30:43,0,6,3.451449
286,2022-01-01-21:30:46,6,0,3.451776
287,2022-01-01-21:30:50,0,6,3.488378
288,2022-01-01-21:30:53,6,1,3.605798
289,2022-01-01-21:30:55,1,2,2.013633
290,2022-01-01-21:30:58,2,6,3.078639
291,2022-01-01-21:31:02,6,1,3.571315
292,2022-01-01-21:31:03,1,4,1.330615
293,2022-01-01-21:31:05,4,5,1.759662
294,2022-01-01-21:31:08,5,6,3.142236
295,2022-01-01-21:31:11,6,5,3.084695
296,2022-01-01-21:31:14,5,7,2.619128
297,2022-01-01-21:31:16,7,3,2.136380
298,2022-01-01-21:31:18,3,7,2.138662
299,2022-01-01-21:31:20,7,0,1.924893
300,2022-01-01-21:31:21,0,1,1.082191
301,2022-01-01-21:31:23,1,4,1.319086
302,2022-01-01-21:31:24,4,2,1.798435
303,2022-01-01-21:31:26,2,5,1.554029
304,2022-01-01-21:31:28,5,4,1.830753
305,2022-01-01-21:31:31,4,6,3.461098
306,2022-01-01-21:31:35,6,4,3.456486
307,2022-01-01-21:31:36,4,2,1.796469
308,2022-01-01-21:31:39,2,3,2.641554
309,2022-01-01-21:31:43,3,6,3.659492
310,2022-01-01-21:31:47,6,7,3.949909
311,2022-01-01-21:31:48,7,1,1.709828
312,2022-01-01-21:31:52,1,6,3.552160
313,2022-01-01-21:31:56,6,7,4.055159
