--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-02-08:14:51,-1,7,2.844027
1,2022-01-02-08:14:54,7,5,2.741029
2,2022-01-02-08:14:56,5,6,2.693035
3,2022-01-02-08:15:00,6,7,3.495749
4,2022-01-02-08:15:03,7,2,3.029179
5,2022-01-02-08:15:07,2,5,3.716652
6,2022-01-02-08:15:09,5,7,2.544295
7,2022-01-02-08:15:12,7,6,2.608203
8,2022-01-02-08:15:15,6,4,3.489327
9,2022-01-02-08:15:17,4,1,1.294575
10,2022-01-02-08:15:19,1,3,2.206265
11,2022-01-02-08:15:22,3,7,3.227125
12,2022-01-02-08:15:25,7,0,3.054745
13,2022-01-02-08:15:27,0,2,1.717610
14,2022-01-02-08:15:29,2,7,2.584728
15,2022-01-02-08:15:34,7,3,4.198402
16,2022-01-02-08:15:37,3,1,3.432445
17,2022-01-02-08:15:39,1,2,1.934959
18,2022-01-02-08:15:42,2,7,2.572090
19,2022-01-02-08:15:44,7,2,2.592308
20,2022-01-02-08:15:47,2,3,2.626715
21,2022-01-02-08:15:49,3,5,2.162842
22,2022-01-02-08:15:52,5,6,3.128510
23,2022-01-02-08:15:56,6,3,3.626717
24,2022-01-02-08:15:58,3,0,2.353137
25,2022-01-02-08:16:00,0,4,1.480729
26,2022-01-02-08:16:01,4,0,1.520441
27,2022-01-02-08:16:02,0,1,1.044574
28,2022-01-02-08:16:04,1,5,2.119723
29,2022-01-02-08:16:08,5,2,3.650539
30,2022-01-02-08:16:12,2,5,3.658160
31,2022-01-02-08:16:13,5,1,1.927918
32,2022-01-02-08:16:14,1,0,1.034948
33,2022-01-02-08:16:16,0,5,1.880777
34,2022-01-02-08:16:19,5,6,2.652953
35,2022-01-02-08:16:22,6,1,2.927305
36,2022-01-02-08:16:23,1,0,1.028188
37,2022-01-02-08:16:25,0,5,2.173819
38,2022-01-02-08:16:27,5,2,1.518055
39,2022-01-02-08:16:29,2,1,1.927966
40,2022-01-02-08:16:31,1,5,2.005874
41,2022-01-02-08:16:34,5,4,3.273317
42,2022-01-02-08:16:36,4,3,2.145688
43,2022-01-02-08:16:40,3,1,3.549686
44,2022-01-02-08:16:42,1,5,1.923939
45,2022-01-02-08:16:45,5,4,3.487646
46,2022-01-02-08:16:47,4,3,2.090853
