timestamp,date,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1641102611126763008,2022-01-02-05:50:11,10.1.1.4,171,-0.010,-0.010,-0.010,0.000,0.000,0.000
1641102611324709888,2022-01-02-05:50:11,10.1.1.4,169,-0.020,-0.020,-0.020,0.000,0.000,0.000
1641102611524820992,2022-01-02-05:50:11,10.1.1.4,168,-0.030,-0.030,-0.030,0.000,0.000,0.000
1641102611725012992,2022-01-02-05:50:11,10.1.1.4,168,-0.040,-0.040,-0.040,0.000,0.000,0.000
1641102611924967936,2022-01-02-05:50:11,10.1.1.4,167,-0.050,-0.050,-0.050,0.000,0.000,0.000
1641102612146075136,2022-01-02-05:50:12,10.1.1.4,188,-0.060,-0.060,-0.060,0.000,0.000,0.000
1641102612343905024,2022-01-02-05:50:12,10.1.1.4,184,-0.070,-0.070,-0.070,0.000,0.000,0.000
1641102612543448064,2022-01-02-05:50:12,10.1.1.4,182,-0.080,-0.080,-0.080,0.000,0.000,0.000
1641102612745719040,2022-01-02-05:50:12,10.1.1.4,183,-0.090,-0.090,-0.090,0.000,0.000,0.000
1641102612946999040,2022-01-02-05:50:12,10.1.1.4,183,-0.100,-0.100,-0.100,0.000,0.000,0.000
1641102613142855936,2022-01-02-05:50:13,10.1.1.4,179,-0.110,-0.110,-0.110,0.000,0.000,0.000
1641102613342649856,2022-01-02-05:50:13,10.1.1.4,177,-0.120,-0.120,-0.120,0.000,0.000,0.000
1641102613543570944,2022-01-02-05:50:13,10.1.1.4,177,-0.130,-0.130,-0.130,0.000,0.000,0.000
1641102613741408000,2022-01-02-05:50:13,10.1.1.4,173,-0.140,-0.140,-0.140,0.000,0.000,0.000
1641102613941024000,2022-01-02-05:50:13,10.1.1.4,172,-0.150,-0.150,-0.150,0.000,0.000,0.000
1641102614141024000,2022-01-02-05:50:14,10.1.1.4,172,-0.160,-0.160,-0.160,0.000,0.000,0.000
1641102614340761856,2022-01-02-05:50:14,10.1.1.4,171,-0.170,-0.170,-0.170,0.000,0.000,0.000
1641102614542289920,2022-01-02-05:50:14,10.1.1.4,172,-0.180,-0.180,-0.180,0.000,0.000,0.000
1641102614740333056,2022-01-02-05:50:14,10.1.1.4,169,-0.190,-0.190,-0.190,0.000,0.000,0.000
1641102614939912192,2022-01-02-05:50:14,10.1.1.4,168,-0.200,-0.200,-0.200,0.000,0.000,0.000
1641102615139372032,2022-01-02-05:50:15,10.1.1.4,167,-0.210,-0.210,-0.210,0.000,0.000,0.000
1641102615338778880,2022-01-02-05:50:15,10.1.1.4,165,-0.220,-0.220,-0.220,0.000,0.000,0.000
1641102615540503040,2022-01-02-05:50:15,10.1.1.4,165,-0.230,-0.230,-0.230,0.000,0.000,0.000
1641102615738290176,2022-01-02-05:50:15,10.1.1.4,163,-0.240,-0.240,-0.240,0.000,0.000,0.000
1641102615939991040,2022-01-02-05:50:15,10.1.1.4,164,-0.250,-0.250,-0.250,0.000,0.000,0.000
1641102616137767168,2022-01-02-05:50:16,10.1.1.4,162,-0.260,-0.260,-0.260,0.000,0.000,0.000
1641102616337257984,2022-01-02-05:50:16,10.1.1.4,161,-0.270,-0.270,-0.270,0.000,0.000,0.000
1641102616537168896,2022-01-02-05:50:16,10.1.1.4,160,-0.280,-0.280,-0.280,0.000,0.000,0.000
1641102616737377024,2022-01-02-05:50:16,10.1.1.4,159,-0.290,-0.290,-0.290,0.000,0.000,0.000
1641102616956855040,2022-01-02-05:50:16,10.1.1.4,176,-0.300,-0.300,-0.300,0.000,0.000,0.000
1641102617156169984,2022-01-02-05:50:17,10.1.1.4,174,-0.310,-0.310,-0.310,0.000,0.000,0.000
1641102617355973120,2022-01-02-05:50:17,10.1.1.4,172,-0.320,-0.320,-0.320,0.000,0.000,0.000
1641102617555458048,2022-01-02-05:50:17,10.1.1.4,171,-0.330,-0.330,-0.330,0.000,0.000,0.000
1641102617755436800,2022-01-02-05:50:17,10.1.1.4,170,-0.340,-0.340,-0.340,0.000,0.000,0.000
1641102617954822912,2022-01-02-05:50:17,10.1.1.4,169,-0.350,-0.350,-0.350,0.000,0.000,0.000
1641102618155227904,2022-01-02-05:50:18,10.1.1.4,169,-0.360,-0.360,-0.360,0.000,0.000,0.000
1641102618364742144,2022-01-02-05:50:18,10.1.1.4,178,-0.370,-0.370,-0.370,0.000,0.000,0.000
1641102618554770944,2022-01-02-05:50:18,10.1.1.4,163,-0.380,-0.380,-0.380,0.000,0.000,0.000
1641102618755032064,2022-01-02-05:50:18,10.1.1.4,162,-0.390,-0.390,-0.390,0.000,0.000,0.000
1641102618957221120,2022-01-02-05:50:18,10.1.1.4,164,-0.400,-0.400,-0.400,0.000,0.000,0.000
1641102619178798848,2022-01-02-05:50:19,10.1.1.4,177,-0.410,-0.410,-0.410,0.000,0.000,0.000
1641102619381171968,2022-01-02-05:50:19,10.1.1.4,179,-0.420,-0.420,-0.420,0.000,0.000,0.000
1641102619581481984,2022-01-02-05:50:19,10.1.1.4,174,-0.430,-0.430,-0.430,0.000,0.000,0.000
1641102619777916928,2022-01-02-05:50:19,10.1.1.4,174,-0.440,-0.440,-0.440,0.000,0.000,0.000
1641102619981452032,2022-01-02-05:50:19,10.1.1.4,177,-0.450,-0.450,-0.450,0.000,0.000,0.000
1641102620179570944,2022-01-02-05:50:20,10.1.1.4,174,-0.460,-0.460,-0.460,0.000,0.000,0.000
1641102620380320000,2022-01-02-05:50:20,10.1.1.4,174,-0.470,-0.470,-0.470,0.000,0.000,0.000
1641102620582225920,2022-01-02-05:50:20,10.1.1.4,175,-0.480,-0.480,-0.480,0.000,0.000,0.000
1641102620786797056,2022-01-02-05:50:20,10.1.1.4,179,-0.490,-0.490,-0.490,0.000,0.000,0.000
