iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,1418448,6735884,9552024
2,0.1,LocalHost,16288168,1416684,6728100,9562740
3,0.1,LocalHost,16288168,1407724,6725152,9563016
4,0.1,LocalHost,16288168,1399652,6715076,9573668
5,0.1,LocalHost,16288168,1382804,6699908,9588260
6,0.1,LocalHost,16288168,1370700,6687532,9600936
7,0.1,LocalHost,16288168,1357040,6674668,9613500
8,0.1,LocalHost,16288168,1345124,6662768,9625676
9,0.1,LocalHost,16288168,1341828,6659772,9628664
10,0.1,LocalHost,16288168,1341744,6658904,9629264
11,0.1,LocalHost,16288168,1341068,6658464,9629768
12,0.1,LocalHost,16288168,1341008,6658700,9629468
13,0.1,LocalHost,16288168,1341144,6658836,9629332
14,0.1,LocalHost,16288168,1341296,6658672,9629496
15,0.1,LocalHost,16288168,1340688,6658120,9630332
16,0.1,LocalHost,16288168,1340416,6658112,9630056
17,0.1,LocalHost,16288168,1340180,6657880,9630564
18,0.1,LocalHost,16288168,1339816,6657712,9630456
19,0.1,LocalHost,16288168,1340036,6657964,9630708
20,0.1,LocalHost,16288168,1339768,6657468,9630828
21,0.1,LocalHost,16288168,1339688,6657388,9630780
22,0.1,LocalHost,16288168,1339480,6656928,9631240
23,0.1,LocalHost,16288168,1339640,6657340,9630828
24,0.1,LocalHost,16288168,1339400,6657100,9631068
25,0.1,LocalHost,16288168,1338960,6656660,9631508
26,0.1,LocalHost,16288168,1339412,6656812,9631624
27,0.1,LocalHost,16288168,1338876,6656576,9631592
28,0.1,LocalHost,16288168,1338592,6656292,9631876
29,0.1,LocalHost,16288168,1338276,6656176,9631992
30,0.1,LocalHost,16288168,1338196,6655900,9632568
31,0.1,LocalHost,16288168,1337944,6655844,9632624
32,0.1,LocalHost,16288168,1337776,6655680,9632488
33,0.1,LocalHost,16288168,1338040,6655728,9632440
34,0.1,LocalHost,16288168,1337872,6655576,9632592
35,0.1,LocalHost,16288168,1337872,6655576,9632884
36,0.1,LocalHost,16288168,1337564,6655268,9632900
37,0.1,LocalHost,16288168,1337272,6654976,9633192
38,0.1,LocalHost,16288168,1337116,6654820,9633348
39,0.1,LocalHost,16288168,1337012,6654716,9633452
40,0.1,LocalHost,16288168,1337020,6654612,9633848
41,0.1,LocalHost,16288168,1336344,6653748,9634224
42,0.1,LocalHost,16288168,1336724,6654596,9633376
43,0.1,LocalHost,16288168,1337056,6654776,9633392
44,0.1,LocalHost,16288168,1337072,6654776,9633392
45,0.1,LocalHost,16288168,1336984,6654948,9633220
46,0.1,LocalHost,16288168,1337332,6655036,9633252
47,0.1,LocalHost,16288168,1337352,6655056,9633112
48,0.1,LocalHost,16288168,1337692,6655592,9632576
49,0.1,LocalHost,16288168,1337604,6655312,9632856
50,0.1,LocalHost,16288168,1338132,6655912,9632256
51,0.1,LocalHost,16288168,1337696,6655440,9632728
52,0.1,LocalHost,16288168,1337704,6655440,9632728
53,0.1,LocalHost,16288168,1337712,6655448,9632524
54,0.1,LocalHost,16288168,1337980,6655772,9632396
55,0.1,LocalHost,16288168,1338092,6655828,9632340
56,0.1,LocalHost,16288168,1338084,6655820,9632348
57,0.1,LocalHost,16288168,1337816,6655552,9632616
58,0.1,LocalHost,16288168,1337956,6655692,9632468
59,0.1,LocalHost,16288168,1338116,6655852,9632316
60,0.1,LocalHost,16288168,1338004,6655740,9632428
61,0.1,LocalHost,16288168,1337704,6655440,9632728
62,0.1,LocalHost,16288168,1337744,6655472,9632696
63,0.1,LocalHost,16288168,1337768,6655472,9632696
64,0.1,LocalHost,16288168,1338272,6656008,9632408
65,0.1,LocalHost,16288168,1338220,6655956,9632212
66,0.1,LocalHost,16288168,1338764,6656048,9632120
67,0.1,LocalHost,16288168,1338676,6656412,9631756
68,0.1,LocalHost,16288168,1338596,6656312,9631856
69,0.1,LocalHost,16288168,1338052,6655804,9632696
70,0.1,LocalHost,16288168,1337892,6655904,9632004
71,0.1,LocalHost,16288168,1338428,6656376,9631792
72,0.1,LocalHost,16288168,1338600,6656364,9631804
73,0.1,LocalHost,16288168,1338500,6656224,9631944
74,0.1,LocalHost,16288168,1338492,6656256,9632028
75,0.1,LocalHost,16288168,1338384,6656148,9632020
76,0.1,LocalHost,16288168,1338392,6655876,9632292
77,0.1,LocalHost,16288168,1337960,6655732,9632436
78,0.1,LocalHost,16288168,1338220,6655992,9632176
79,0.1,LocalHost,16288168,1338204,6655976,9632192
80,0.1,LocalHost,16288168,1338172,6655948,9632560
81,0.1,LocalHost,16288168,1337720,6655496,9632672
82,0.1,LocalHost,16288168,1337600,6655044,9633124
83,0.1,LocalHost,16288168,1337292,6655264,9632904
84,0.1,LocalHost,16288168,1337528,6655304,9632864
85,0.1,LocalHost,16288168,1337568,6655340,9632828
86,0.1,LocalHost,16288168,1338004,6655784,9632124
87,0.1,LocalHost,16288168,1338100,6655880,9632288
88,0.1,LocalHost,16288168,1337916,6655892,9632276
89,0.1,LocalHost,16288168,1338136,6655916,9632056
90,0.1,LocalHost,16288168,1338072,6656112,9632176
91,0.1,LocalHost,16288168,1338448,6655952,9632216
92,0.1,LocalHost,16288168,1337880,6655660,9632508
93,0.1,LocalHost,16288168,1337920,6655900,9632268
94,0.1,LocalHost,16288168,1338088,6655896,9632272
95,0.1,LocalHost,16288168,1338516,6656324,9632336
96,0.1,LocalHost,16288168,1337716,6655524,9633072
97,0.1,LocalHost,16288168,1337572,6655380,9632788
98,0.1,LocalHost,16288168,1337580,6655388,9632780
99,0.1,LocalHost,16288168,1337192,6655004,9633164
100,0.1,LocalHost,16288168,1337588,6655400,9632508
101,0.1,LocalHost,16288168,1337540,6655352,9632816
102,0.1,LocalHost,16288168,1337188,6655000,9633720
103,0.1,LocalHost,16288168,1336968,6654780,9633388
104,0.1,LocalHost,16288168,1336952,6654764,9633404
105,0.1,LocalHost,16288168,1336888,6654896,9633272
106,0.1,LocalHost,16288168,1337084,6654896,9633272
107,0.1,LocalHost,16288168,1337148,6654956,9632952
108,0.1,LocalHost,16288168,1337036,6654848,9633320
109,0.1,LocalHost,16288168,1337036,6654548,9633164
110,0.1,LocalHost,16288168,1337208,6655020,9633084
111,0.1,LocalHost,16288168,1337792,6655604,9632564
112,0.1,LocalHost,16288168,1337412,6655224,9632944
113,0.1,LocalHost,16288168,1337436,6655508,9632660
114,0.1,LocalHost,16288168,1337836,6655648,9632520
115,0.1,LocalHost,16288168,1338096,6655908,9632064
116,0.1,LocalHost,16288168,1338308,6656124,9632044
117,0.1,LocalHost,16288168,1338268,6656084,9632084
118,0.1,LocalHost,16288168,1338108,6655424,9632744
119,0.1,LocalHost,16288168,1337880,6655704,9632464
120,0.1,LocalHost,16288168,1337712,6655536,9632632
121,0.1,LocalHost,16288168,1337704,6655528,9632640
122,0.1,LocalHost,16288168,1337704,6655528,9632380
123,0.1,LocalHost,16288168,1337732,6655556,9632652
124,0.1,LocalHost,16288168,1337356,6655180,9632988
125,0.1,LocalHost,16288168,1337656,6655180,9632792
126,0.1,LocalHost,16288168,1337772,6655596,9632312
127,0.1,LocalHost,16288168,1338040,6655864,9632044
128,0.1,LocalHost,16288168,1338260,6656084,9632084
129,0.1,LocalHost,16288168,1338020,6655844,9632324
130,0.1,LocalHost,16288168,1335036,6652860,9635812
131,0.1,LocalHost,16288168,1339820,6657644,9630524
132,0.1,LocalHost,16288168,1339684,6657516,9630652
