iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,1354116,6730348,9559028
2,0.1,LocalHost,16288168,1336456,6712420,9586200
3,0.1,LocalHost,16288168,1317488,6701384,9587068
4,0.1,LocalHost,16288168,1307420,6689204,9599468
5,0.1,LocalHost,16288168,1288492,6672696,9615764
6,0.1,LocalHost,16288168,1276024,6660504,9627736
7,0.1,LocalHost,16288168,1262280,6646548,9641360
8,0.1,LocalHost,16288168,1252024,6635976,9652484
9,0.1,LocalHost,16288168,1248100,6632364,9656104
10,0.1,LocalHost,16288168,1243520,6627792,9660376
11,0.1,LocalHost,16288168,1242944,6627216,9661216
12,0.1,LocalHost,16288168,1242720,6626996,9661172
13,0.1,LocalHost,16288168,1242800,6627080,9661088
14,0.1,LocalHost,16288168,1242808,6627088,9661372
15,0.1,LocalHost,16288168,1242476,6626252,9661916
16,0.1,LocalHost,16288168,1250568,6634564,9653604
17,0.1,LocalHost,16288168,1249772,6634060,9654108
18,0.1,LocalHost,16288168,1249248,6633536,9654912
19,0.1,LocalHost,16288168,1248692,6632712,9655456
20,0.1,LocalHost,16288168,1248156,6632444,9655724
21,0.1,LocalHost,16288168,1248080,6632368,9656304
22,0.1,LocalHost,16288168,1247512,6631800,9656368
23,0.1,LocalHost,16288168,1247016,6631304,9656864
24,0.1,LocalHost,16288168,1247688,6631976,9656192
25,0.1,LocalHost,16288168,1244552,6627832,9660336
26,0.1,LocalHost,16288168,1248552,6632840,9655328
27,0.1,LocalHost,16288168,1248864,6633152,9655016
28,0.1,LocalHost,16288168,1249464,6633752,9654732
29,0.1,LocalHost,16288168,1248948,6633240,9654928
30,0.1,LocalHost,16288168,1249428,6633176,9654992
31,0.1,LocalHost,16288168,1248656,6632948,9655220
32,0.1,LocalHost,16288168,1248608,6632900,9655520
33,0.1,LocalHost,16288168,1247908,6632200,9656236
34,0.1,LocalHost,16288168,1247112,6631404,9656764
35,0.1,LocalHost,16288168,1246436,6630728,9657440
36,0.1,LocalHost,16288168,1246736,6631028,9657140
37,0.1,LocalHost,16288168,1246980,6631272,9656896
38,0.1,LocalHost,16288168,1246508,6630720,9657448
39,0.1,LocalHost,16288168,1247076,6631044,9657124
40,0.1,LocalHost,16288168,1246284,6630284,9657884
41,0.1,LocalHost,16288168,1246448,6630740,9657428
42,0.1,LocalHost,16288168,1246496,6630788,9657380
43,0.1,LocalHost,16288168,1246684,6630976,9657192
44,0.1,LocalHost,16288168,1246964,6631256,9656912
45,0.1,LocalHost,16288168,1247288,6631580,9656588
46,0.1,LocalHost,16288168,1247112,6631404,9656764
47,0.1,LocalHost,16288168,1247600,6631892,9656276
48,0.1,LocalHost,16288168,1246240,6630532,9657740
49,0.1,LocalHost,16288168,1247064,6631092,9657076
50,0.1,LocalHost,16288168,1247672,6631976,9656192
51,0.1,LocalHost,16288168,1248140,6632452,9655456
52,0.1,LocalHost,16288168,1247588,6631900,9656008
53,0.1,LocalHost,16288168,1248004,6632316,9655592
54,0.1,LocalHost,16288168,1248264,6632580,9655888
55,0.1,LocalHost,16288168,1247468,6631772,9656396
56,0.1,LocalHost,16288168,1247480,6631996,9656172
57,0.1,LocalHost,16288168,1247936,6632456,9655712
58,0.1,LocalHost,16288168,1247832,6632160,9656008
59,0.1,LocalHost,16288168,1248004,6632332,9655836
60,0.1,LocalHost,16288168,1248264,6632592,9655576
61,0.1,LocalHost,16288168,1248436,6632772,9655696
62,0.1,LocalHost,16288168,1248176,6632528,9655640
63,0.1,LocalHost,16288168,1247964,6632292,9655876
64,0.1,LocalHost,16288168,1247648,6631976,9655996
65,0.1,LocalHost,16288168,1247844,6632172,9656760
66,0.1,LocalHost,16288168,1247388,6631912,9656256
67,0.1,LocalHost,16288168,1247600,6631928,9656240
68,0.1,LocalHost,16288168,1247080,6631408,9656760
69,0.1,LocalHost,16288168,1247688,6632016,9656152
70,0.1,LocalHost,16288168,1248240,6632568,9655600
71,0.1,LocalHost,16288168,1247688,6631700,9656468
72,0.1,LocalHost,16288168,1247664,6631992,9655980
73,0.1,LocalHost,16288168,1247340,6631668,9656500
74,0.1,LocalHost,16288168,1247412,6631744,9656424
75,0.1,LocalHost,16288168,1247296,6631628,9656540
76,0.1,LocalHost,16288168,1248144,6632476,9655496
77,0.1,LocalHost,16288168,1248056,6632388,9655780
