iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,1244300,6584876,9703776
2,0.1,LocalHost,16288168,1239252,6580124,9710060
3,0.1,LocalHost,16288168,1230872,6571460,9716708
4,0.1,LocalHost,16288168,1230588,6571460,9716708
5,0.1,LocalHost,16288168,1227760,6568632,9720420
6,0.1,LocalHost,16288168,1218292,6558872,9729948
7,0.1,LocalHost,16288168,1214580,6555116,9733052
8,0.1,LocalHost,16288168,1206448,6547332,9740836
9,0.1,LocalHost,16288168,1198072,6538956,9749212
10,0.1,LocalHost,16288168,1196208,6536808,9751360
11,0.1,LocalHost,16288168,1196240,6537128,9751324
12,0.1,LocalHost,16288168,1195080,6535968,9752532
13,0.1,LocalHost,16288168,1194900,6535788,9752184
14,0.1,LocalHost,16288168,1195372,6535968,9752200
15,0.1,LocalHost,16288168,1194676,6535564,9752604
16,0.1,LocalHost,16288168,1194904,6535988,9752180
17,0.1,LocalHost,16288168,1194880,6535768,9752400
18,0.1,LocalHost,16288168,1195028,6535916,9752252
19,0.1,LocalHost,16288168,1195020,6535908,9752260
20,0.1,LocalHost,16288168,1195076,6535964,9752204
21,0.1,LocalHost,16288168,1194996,6535632,9752860
22,0.1,LocalHost,16288168,1194808,6535696,9752472
23,0.1,LocalHost,16288168,1194784,6535672,9752496
24,0.1,LocalHost,16288168,1194864,6535756,9752720
25,0.1,LocalHost,16288168,1202512,6543404,9745552
26,0.1,LocalHost,16288168,1201844,6542736,9745236
27,0.1,LocalHost,16288168,1202040,6542648,9745340
28,0.1,LocalHost,16288168,1202340,6542956,9745212
29,0.1,LocalHost,16288168,1202040,6542932,9745236
30,0.1,LocalHost,16288168,1202016,6542908,9745260
31,0.1,LocalHost,16288168,1201744,6542636,9745532
32,0.1,LocalHost,16288168,1202148,6543476,9744692
33,0.1,LocalHost,16288168,1202216,6543108,9745336
34,0.1,LocalHost,16288168,1202248,6543400,9745076
35,0.1,LocalHost,16288168,1202312,6543204,9745256
36,0.1,LocalHost,16288168,1202048,6542940,9745228
37,0.1,LocalHost,16288168,1201592,6542484,9745684
38,0.1,LocalHost,16288168,1201324,6542216,9746252
39,0.1,LocalHost,16288168,1200724,6541616,9746356
40,0.1,LocalHost,16288168,1200832,6541428,9747244
41,0.1,LocalHost,16288168,1200980,6541876,9746292
42,0.1,LocalHost,16288168,1200980,6542072,9746096
43,0.1,LocalHost,16288168,1200672,6541828,9746340
44,0.1,LocalHost,16288168,1200892,6541788,9745988
45,0.1,LocalHost,16288168,1201324,6542220,9745848
46,0.1,LocalHost,16288168,1201520,6542416,9745752
47,0.1,LocalHost,16288168,1201788,6542684,9745288
48,0.1,LocalHost,16288168,1202080,6542976,9745192
49,0.1,LocalHost,16288168,1201748,6542644,9745524
50,0.1,LocalHost,16288168,1201636,6542532,9745764
51,0.1,LocalHost,16288168,1201548,6542444,9745724
52,0.1,LocalHost,16288168,1202004,6542900,9745560
53,0.1,LocalHost,16288168,1201712,6542804,9745304
54,0.1,LocalHost,16288168,1201916,6542816,9745352
55,0.1,LocalHost,16288168,1201924,6542828,9745144
56,0.1,LocalHost,16288168,1202136,6543040,9745404
57,0.1,LocalHost,16288168,1201956,6542868,9745300
58,0.1,LocalHost,16288168,1201928,6542840,9745328
59,0.1,LocalHost,16288168,1202296,6543208,9744960
60,0.1,LocalHost,16288168,1202516,6543428,9744740
61,0.1,LocalHost,16288168,1202516,6543436,9744732
62,0.1,LocalHost,16288168,1202532,6543452,9744716
63,0.1,LocalHost,16288168,1202540,6543468,9745000
64,0.1,LocalHost,16288168,1202288,6543216,9744952
65,0.1,LocalHost,16288168,1202136,6543068,9744904
66,0.1,LocalHost,16288168,1202268,6543200,9745332
67,0.1,LocalHost,16288168,1202276,6543208,9744960
68,0.1,LocalHost,16288168,1202604,6543536,9744632
69,0.1,LocalHost,16288168,1202768,6543700,9744596
70,0.1,LocalHost,16288168,1202972,6543872,9744296
71,0.1,LocalHost,16288168,1202908,6543840,9744328
72,0.1,LocalHost,16288168,1202720,6543652,9744516
73,0.1,LocalHost,16288168,1202616,6543548,9744360
74,0.1,LocalHost,16288168,1202852,6543784,9744684
75,0.1,LocalHost,16288168,1202580,6543512,9744656
76,0.1,LocalHost,16288168,1202784,6543716,9745036
77,0.1,LocalHost,16288168,1202216,6543148,9745020
78,0.1,LocalHost,16288168,1202360,6543488,9744680
79,0.1,LocalHost,16288168,1202588,6543780,9744388
