%Cpu(s):  1,0 us, 63,6 sy,  0,0 ni, 21,2 id, 14,1 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  2,1 us, 60,8 sy,  0,0 ni, 22,7 id, 14,4 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  7,4 us, 55,8 sy,  0,0 ni, 17,9 id, 18,9 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  2,1 us, 60,6 sy,  0,0 ni, 19,1 id, 18,1 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  2,2 us, 58,7 sy,  0,0 ni, 31,5 id,  7,6 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  3,1 us, 56,2 sy,  0,0 ni, 30,2 id, 10,4 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  3,1 us, 49,0 sy,  0,0 ni, 37,5 id,  9,4 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  2,2 us, 34,4 sy,  0,0 ni, 45,6 id, 17,8 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  5,7 us, 18,1 sy,  0,0 ni, 57,1 id, 18,1 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  4,0 us, 18,0 sy,  0,0 ni, 57,0 id, 20,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  5,6 us, 19,6 sy,  0,0 ni, 55,1 id, 19,6 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  4,7 us, 30,2 sy,  0,0 ni, 53,8 id,  9,4 wa,  0,0 hi,  1,9 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  5,3 us, 29,5 sy,  0,0 ni, 61,1 id,  4,2 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  2,9 us, 21,4 sy,  0,0 ni, 74,8 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  3,1 us, 28,1 sy,  0,0 ni, 68,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  2,1 us, 28,9 sy,  0,0 ni, 68,0 id,  0,0 wa,  0,0 hi,  1,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  4,0 us, 33,0 sy,  0,0 ni, 63,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  5,5 us, 42,2 sy,  0,0 ni, 50,5 id,  0,0 wa,  0,0 hi,  1,8 si,  0,0 st
KiB Mem : 16288168 total,   159088 free,  7496424 used,  8632656 buff/cache
%Cpu(s):  8,9 us, 42,0 sy,  0,0 ni, 49,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
